Date,Price
2011-03-27,0.8958
2011-03-28,0.8575
2011-03-29,0.8
2011-03-30,0.795
2011-03-31,0.80098
2011-04-13,1.0
2011-04-14,0.94
2011-04-15,1.08999
2011-04-16,1.095
2011-04-17,1.085
2011-04-18,1.1999
2011-04-19,1.19
2011-04-20,1.1979
2011-04-21,1.1979
2011-04-22,1.332
2011-04-23,1.549
2011-04-24,1.95
2011-04-25,1.701
2011-04-26,1.73
2011-04-27,1.95
2011-04-28,2.65
2011-04-29,2.7
2011-04-30,4.14996
2011-05-13,8.45
2011-05-14,8.9
2011-05-15,8.55
2011-05-16,8.5
2011-05-17,8.38901
2011-05-18,7.874
2011-05-19,7.34
2011-05-20,7.1
2011-05-21,6.6036
2011-05-22,6.61
2011-05-23,7.45
2011-05-24,7.2
2011-05-25,7.51
2011-05-26,9.33
2011-05-27,8.92
2011-05-28,8.735
2011-05-29,8.4992
2011-05-30,9.0
2011-05-31,9.4998
2011-06-13,24.5
2011-06-14,20.99
2011-06-15,20.0
2011-06-16,19.96
2011-06-17,19.3898
2011-06-18,17.2
2011-06-19,18.8766
2011-06-20,17.35
2011-06-21,15.5
2011-06-22,15.05
2011-06-23,16.0
2011-06-24,16.7501
2011-06-25,17.6
2011-06-26,17.51001
2011-06-27,18.0
2011-06-28,17.52
2011-06-29,17.3
2011-06-30,17.5
2011-07-13,14.15
2011-07-14,14.1
2011-07-15,14.3
2011-07-16,14.1
2011-07-17,13.96
2011-07-18,13.6901
2011-07-19,14.7
2011-07-20,14.04
2011-07-21,13.9389
2011-07-22,13.9389
2011-07-23,13.92
2011-07-24,13.979999
2011-07-25,14.7399
2011-07-26,14.4
2011-07-27,14.13
2011-07-28,14.0
2011-07-29,13.8
2011-07-30,13.8
2011-07-31,14.8999
2011-08-13,10.05
2011-08-14,11.24
2011-08-15,11.89
2011-08-16,11.38
2011-08-17,11.3
2011-08-18,11.67
2011-08-19,11.81
2011-08-20,11.798
2011-08-21,11.59
2011-08-22,11.501
2011-08-23,11.49
2011-08-24,11.4
2011-08-25,10.96554
2011-08-26,10.3
2011-08-27,9.11
2011-08-28,9.48
2011-08-29,9.4811
2011-08-30,9.15031
2011-08-31,9.0
2011-09-13,6.25
2011-09-14,5.990000001
2011-09-15,5.69
2011-09-16,5.23
2011-09-17,5.022
2011-09-18,5.0
2011-09-19,5.6
2011-09-20,6.795
2011-09-21,6.28664
2011-09-22,5.83001
2011-09-23,5.70653
2011-09-24,5.66
2011-09-25,5.5
2011-09-26,5.46014
2011-09-27,5.13018
2011-09-28,4.989
2011-09-29,4.809
2011-09-30,5.35
2011-10-13,4.45
2011-10-14,4.11455
2011-10-15,4.05
2011-10-16,3.9009
2011-10-17,3.75996
2011-10-18,2.9
2011-10-19,2.64999
2011-10-20,2.42
2011-10-21,2.72002
2011-10-22,3.3
2011-10-23,3.36
2011-10-24,3.2
2011-10-25,3.04
2011-10-26,2.876
2011-10-27,3.0499
2011-10-28,3.255
2011-10-29,3.82717
2011-10-30,3.65026
2011-10-31,3.388
2011-11-13,3.099
2011-11-14,3.03
2011-11-15,2.69
2011-11-16,2.6
2011-11-17,2.60031
2011-11-18,2.38998
2011-11-19,2.3
2011-11-20,2.499
2011-11-21,2.29
2011-11-22,2.35
2011-11-23,2.38
2011-11-24,2.46
2011-11-25,2.56
2011-11-26,2.53125
2011-11-27,2.4965
2011-11-28,2.53899
2011-11-29,2.981
2011-11-30,2.959
